datetime,open,high,low,close,volume
2026-02-16 09:15:00,25427.44921875,25555.849609375,25376.05078125,25551.44921875,0
2026-02-16 10:15:00,25551.44921875,25561.150390625,25507.150390625,25534.55078125,0
2026-02-16 11:15:00,25533.849609375,25555.19921875,25503.05078125,25545.69921875,0
2026-02-16 12:15:00,25545.400390625,25590.5,25532.94921875,25571.349609375,0
2026-02-16 13:15:00,25571.44921875,25593.900390625,25544.849609375,25580.349609375,0
2026-02-16 14:15:00,25581.099609375,25695.849609375,25574.0,25686.75,0
2026-02-16 15:15:00,25687.05078125,25692.75,25673.0,25682.44921875,0
2026-02-17 09:15:00,25644.5,25681.400390625,25570.69921875,25679.25,0
2026-02-17 10:15:00,25679.400390625,25730.099609375,25642.75,25673.099609375,0
2026-02-17 11:15:00,25673.94921875,25745.349609375,25669.5,25721.69921875,0
2026-02-17 12:15:00,25722.55078125,25763.900390625,25713.900390625,25736.349609375,0
2026-02-17 13:15:00,25736.25,25761.94921875,25667.80078125,25670.94921875,0
2026-02-17 14:15:00,25670.69921875,25746.30078125,25662.599609375,25724.849609375,0
2026-02-17 15:15:00,25725.44921875,25731.849609375,25713.80078125,25716.0,0
2026-02-18 09:15:00,25754.650390625,25754.650390625,25651.05078125,25661.94921875,0
2026-02-18 10:15:00,25663.849609375,25709.0,25645.900390625,25700.05078125,0
2026-02-18 11:15:00,25700.69921875,25718.400390625,25676.55078125,25709.849609375,0
2026-02-18 12:15:00,25710.5,25742.05078125,25703.650390625,25731.5,0
2026-02-18 13:15:00,25730.94921875,25757.349609375,25695.75,25756.80078125,0
2026-02-18 14:15:00,25756.94921875,25827.150390625,25750.599609375,25821.94921875,0
2026-02-18 15:15:00,25820.05078125,25827.44921875,25805.05078125,25805.69921875,0
2026-02-19 09:15:00,25866.30078125,25879.599609375,25750.69921875,25756.44921875,0
2026-02-19 10:15:00,25757.75,25765.849609375,25708.75,25715.80078125,0
2026-02-19 11:15:00,25715.30078125,25720.69921875,25601.0,25603.5,0
2026-02-19 12:15:00,25602.849609375,25639.69921875,25568.19921875,25624.55078125,0
2026-02-19 13:15:00,25623.849609375,25636.25,25545.5,25571.400390625,0
2026-02-19 14:15:00,25570.900390625,25609.94921875,25442.0,25447.599609375,0
2026-02-19 15:15:00,25447.55078125,25447.55078125,25390.5,25416.44921875,0
2026-02-20 09:15:00,25406.349609375,25524.69921875,25380.349609375,25480.44921875,0
2026-02-20 10:15:00,25479.900390625,25606.0,25479.900390625,25561.849609375,0
2026-02-20 11:15:00,25563.349609375,25620.05078125,25562.150390625,25603.099609375,0
2026-02-20 12:15:00,25602.44921875,25663.349609375,25535.75,25554.599609375,0
2026-02-20 13:15:00,25554.5,25611.80078125,25532.0,25602.150390625,0
2026-02-20 14:15:00,25601.650390625,25652.849609375,25563.0,25571.94921875,0
2026-02-20 15:15:00,25570.849609375,25577.44921875,25538.900390625,25565.900390625,0
2026-02-23 09:15:00,25678.400390625,25770.69921875,25627.150390625,25717.849609375,0
2026-02-23 10:15:00,25717.349609375,25733.69921875,25646.599609375,25696.55078125,0
2026-02-23 11:15:00,25696.099609375,25699.19921875,25631.650390625,25662.0,0
2026-02-23 12:15:00,25661.599609375,25690.849609375,25631.55078125,25637.5,0
2026-02-23 13:15:00,25636.69921875,25680.30078125,25609.349609375,25629.849609375,0
2026-02-23 14:15:00,25630.69921875,25728.94921875,25619.75,25710.75,0
2026-02-23 15:15:00,25712.099609375,25722.5,25700.0,25704.25,0
2026-02-24 09:15:00,25641.80078125,25641.80078125,25483.599609375,25484.69921875,0
2026-02-24 10:15:00,25484.0,25515.0,25460.849609375,25505.849609375,0
2026-02-24 11:15:00,25505.69921875,25525.19921875,25447.150390625,25466.05078125,0
2026-02-24 12:15:00,25464.5,25466.94921875,25387.44921875,25424.599609375,0
2026-02-24 13:15:00,25424.599609375,25443.55078125,25328.0,25440.5,0
2026-02-24 14:15:00,25440.05078125,25446.099609375,25361.900390625,25421.19921875,0
2026-02-24 15:15:00,25422.19921875,25464.55078125,25416.650390625,25460.25,0
2026-02-25 09:15:00,25515.05078125,25632.900390625,25512.900390625,25631.75,0
2026-02-25 10:15:00,25631.599609375,25652.5,25607.5,25616.0,0
2026-02-25 11:15:00,25615.5,25622.19921875,25581.05078125,25600.19921875,0
2026-02-25 12:15:00,25599.69921875,25615.5,25440.30078125,25462.599609375,0
2026-02-25 13:15:00,25462.400390625,25485.19921875,25428.400390625,25457.099609375,0
2026-02-25 14:15:00,25457.30078125,25506.55078125,25439.94921875,25478.5,0
2026-02-25 15:15:00,25477.05078125,25488.25,25471.05078125,25478.650390625,0
2026-02-26 09:15:00,25551.55078125,25572.25,25488.30078125,25558.25,0
2026-02-26 10:15:00,25558.599609375,25562.0,25491.69921875,25523.25,0
2026-02-26 11:15:00,25523.5,25570.849609375,25446.75,25459.30078125,0
2026-02-26 12:15:00,25458.05078125,25468.5,25401.599609375,25428.55078125,0
2026-02-26 13:15:00,25428.19921875,25460.55078125,25403.400390625,25453.44921875,0
2026-02-26 14:15:00,25456.650390625,25527.150390625,25427.0,25486.150390625,0
2026-02-26 15:15:00,25486.94921875,25503.25,25482.94921875,25493.30078125,0
2026-02-27 09:15:00,25470.150390625,25470.150390625,25309.400390625,25322.599609375,0
2026-02-27 10:15:00,25321.94921875,25346.44921875,25292.650390625,25335.0,0
2026-02-27 11:15:00,25334.55078125,25341.650390625,25272.19921875,25284.94921875,0
2026-02-27 12:15:00,25285.349609375,25313.150390625,25269.650390625,25289.69921875,0
2026-02-27 13:15:00,25288.80078125,25352.05078125,25281.650390625,25324.55078125,0
2026-02-27 14:15:00,25324.19921875,25328.900390625,25142.349609375,25167.900390625,0
2026-02-27 15:15:00,25168.80078125,25189.099609375,25159.349609375,25181.80078125,0
2026-03-02 09:15:00,24723.400390625,24988.75,24722.0,24884.849609375,0
